level,type,category,sq,pl,es,img,note
A1,word,saludos,pershendetje,cześć,hola,img/people.png,
A1,word,saludos,mirëdita,dzień dobry,buenos días,img/people.png,
A1,word,saludos,mirëmbrëma,dobry wieczór,buenas noches,img/people.png,
A1,word,cortesía,faleminderit,dziękuję,gracias,img/people.png,
A1,word,cortesía,ju lutem,proszę,por favor,img/people.png,
A1,word,básico,po,tak,sí,img/people.png,
A1,word,básico,jo,nie,no,img/people.png,
A1,word,comida,bukë,chleb,pan,img/food.png,
A1,word,comida,mollë,jabłko,manzana,img/food.png,
A1,word,comida,ujë,woda,agua,img/food.png,
A1,word,comida,kafe,kawa,café,img/food.png,
A1,word,comida,djathë,ser,queso,img/food.png,
A1,word,familia,familja,rodzina,familia,img/people.png,
A1,word,personas,mik,przyjaciel,amigo,img/people.png,
A1,word,personas,mike,przyjaciółka,amiga,img/people.png,
A1,word,hogar,shtepia,dom,casa,img/house.png,
A1,word,hogar,dritare,okno,ventana,img/house.png,
A1,word,hogar,derë,drzwi,puerta,img/house.png,
A1,word,lugares,treg,targ,mercado,img/market.png,
A1,word,lugares,restorant,restauracja,restaurante,img/market.png,
A1,word,viaje,biletë,bilet,billete,img/travel.png,
A1,word,viaje,autobus,autobus,autobús,img/travel.png,
A1,word,viaje,tren,pociąg,tren,img/travel.png,
A1,word,viaje,avion,samolot,avión,img/travel.png,
A1,phrase,saludos,Si je?,Jak się masz?,¿Cómo estás?,,
A1,phrase,saludos,Unë jam mirë,Mam się dobrze,Estoy bien,,
A1,phrase,restaurante,"Dua një kafe, ju lutem",Poproszę kawę,"Quiero un café, por favor",,
A1,phrase,viaje,Ku është tualeti?,Gdzie jest toaleta?,¿Dónde está el baño?,,
A1,phrase,cortesía,Faleminderit shumë,Dziękuję bardzo,Muchas gracias,,
A1,phrase,compras,Sa kushton kjo?,Ile to kosztuje?,¿Cuánto cuesta esto?,,
A1,phrase,compras,Ku mund të blej bukë?,Gdzie mogę kupić chleb?,¿Dónde puedo comprar pan?,,
A1,phrase,cortesía,Më fal,Przepraszam,Perdón,,
A1,phrase,saludos,Shihemi më vonë,Do zobaczenia później,Nos vemos luego,,
A1,phrase,saludos,Mirupafshim,Do widzenia,Adiós,,
A1,word,familia,fjala1,pl_słowo1,palabra1,img/people.png,PLACEHOLDER: revisar y reemplazar
A1,word,viaje,fjala2,pl_słowo2,palabra2,img/travel.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,compras,Fraza e testit 3,Przykładowe zdanie 3,Frase de ejemplo 3,,PLACEHOLDER: revisar y reemplazar
A1,word,números,fjala4,pl_słowo4,palabra4,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,word,tiempo,fjala5,pl_słowo5,palabra5,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,word,viaje,fjala6,pl_słowo6,palabra6,img/travel.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,hogar,Fraza e testit 7,Przykładowe zdanie 7,Frase de ejemplo 7,,PLACEHOLDER: revisar y reemplazar
A1,phrase,trabajo,Fraza e testit 8,Przykładowe zdanie 8,Frase de ejemplo 8,,PLACEHOLDER: revisar y reemplazar
A1,word,comida,fjala9,pl_słowo9,palabra9,img/food.png,PLACEHOLDER: revisar y reemplazar
A1,word,colores,fjala10,pl_słowo10,palabra10,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,word,cuerpo,fjala11,pl_słowo11,palabra11,img/people.png,PLACEHOLDER: revisar y reemplazar
A1,word,compras,fjala12,pl_słowo12,palabra12,img/market.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,cuerpo,Fraza e testit 13,Przykładowe zdanie 13,Frase de ejemplo 13,,PLACEHOLDER: revisar y reemplazar
A1,phrase,colores,Fraza e testit 14,Przykładowe zdanie 14,Frase de ejemplo 14,,PLACEHOLDER: revisar y reemplazar
A1,word,hogar,fjala15,pl_słowo15,palabra15,img/house.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,trabajo,Fraza e testit 16,Przykładowe zdanie 16,Frase de ejemplo 16,,PLACEHOLDER: revisar y reemplazar
A1,phrase,hogar,Fraza e testit 17,Przykładowe zdanie 17,Frase de ejemplo 17,,PLACEHOLDER: revisar y reemplazar
A1,phrase,viaje,Fraza e testit 18,Przykładowe zdanie 18,Frase de ejemplo 18,,PLACEHOLDER: revisar y reemplazar
A1,word,comida,fjala19,pl_słowo19,palabra19,img/food.png,PLACEHOLDER: revisar y reemplazar
A1,word,comida,fjala20,pl_słowo20,palabra20,img/food.png,PLACEHOLDER: revisar y reemplazar
A1,word,hogar,fjala21,pl_słowo21,palabra21,img/house.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,tiempo,Fraza e testit 22,Przykładowe zdanie 22,Frase de ejemplo 22,,PLACEHOLDER: revisar y reemplazar
A1,phrase,viaje,Fraza e testit 23,Przykładowe zdanie 23,Frase de ejemplo 23,,PLACEHOLDER: revisar y reemplazar
A1,word,viaje,fjala24,pl_słowo24,palabra24,img/travel.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,números,Fraza e testit 25,Przykładowe zdanie 25,Frase de ejemplo 25,,PLACEHOLDER: revisar y reemplazar
A1,word,compras,fjala26,pl_słowo26,palabra26,img/market.png,PLACEHOLDER: revisar y reemplazar
A1,word,números,fjala27,pl_słowo27,palabra27,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,tiempo,Fraza e testit 28,Przykładowe zdanie 28,Frase de ejemplo 28,,PLACEHOLDER: revisar y reemplazar
A1,word,números,fjala29,pl_słowo29,palabra29,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,word,números,fjala30,pl_słowo30,palabra30,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,compras,Fraza e testit 31,Przykładowe zdanie 31,Frase de ejemplo 31,,PLACEHOLDER: revisar y reemplazar
A1,word,viaje,fjala32,pl_słowo32,palabra32,img/travel.png,PLACEHOLDER: revisar y reemplazar
A1,word,colores,fjala33,pl_słowo33,palabra33,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,word,hogar,fjala34,pl_słowo34,palabra34,img/house.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,familia,Fraza e testit 35,Przykładowe zdanie 35,Frase de ejemplo 35,,PLACEHOLDER: revisar y reemplazar
A1,phrase,hogar,Fraza e testit 36,Przykładowe zdanie 36,Frase de ejemplo 36,,PLACEHOLDER: revisar y reemplazar
A1,word,trabajo,fjala37,pl_słowo37,palabra37,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,word,tiempo,fjala38,pl_słowo38,palabra38,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,word,hogar,fjala39,pl_słowo39,palabra39,img/house.png,PLACEHOLDER: revisar y reemplazar
A1,word,trabajo,fjala40,pl_słowo40,palabra40,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,word,hogar,fjala41,pl_słowo41,palabra41,img/house.png,PLACEHOLDER: revisar y reemplazar
A1,word,trabajo,fjala42,pl_słowo42,palabra42,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,word,números,fjala43,pl_słowo43,palabra43,img/study.png,PLACEHOLDER: revisar y reemplazar
